impl,size,distribution,seed,threads,block_size,repeats,avg_ms
omp,1000000,uniform,42,1,256,5,86.0994
omp,1000000,uniform,42,2,256,5,58.9264
omp,1000000,uniform,42,4,256,5,63.0974
omp,1000000,uniform,42,8,256,5,59.5041
omp,1000000,uniform,42,16,256,5,63.8577
omp,4000000,uniform,42,1,256,5,389.2234
omp,4000000,uniform,42,2,256,5,268.3581
omp,4000000,uniform,42,4,256,5,427.3406
omp,4000000,uniform,42,8,256,5,289.4912
omp,4000000,uniform,42,16,256,5,268.6165
omp,16000000,uniform,42,1,256,5,1835.8185
omp,16000000,uniform,42,2,256,5,1187.2503
omp,16000000,uniform,42,4,256,5,1318.9306
omp,16000000,uniform,42,8,256,5,1405.7072
omp,16000000,uniform,42,16,256,5,1192.2524
omp,64000000,uniform,42,1,256,5,7887.4169
omp,64000000,uniform,42,2,256,5,5559.7988
omp,64000000,uniform,42,4,256,5,5713.8480
omp,64000000,uniform,42,8,256,5,5786.5357
omp,64000000,uniform,42,16,256,5,5679.1806
omp,1000000,gaussian,42,1,256,5,112.7593
omp,1000000,gaussian,42,2,256,5,96.8191
omp,1000000,gaussian,42,4,256,5,92.7559
omp,1000000,gaussian,42,8,256,5,60.2136
omp,1000000,gaussian,42,16,256,5,63.3992
omp,4000000,gaussian,42,1,256,5,386.9021
omp,4000000,gaussian,42,2,256,5,269.4180
omp,4000000,gaussian,42,4,256,5,272.3980
omp,4000000,gaussian,42,8,256,5,264.4991
omp,4000000,gaussian,42,16,256,5,348.6150
omp,16000000,gaussian,42,1,256,5,1710.9501
omp,16000000,gaussian,42,2,256,5,1243.4860
omp,16000000,gaussian,42,4,256,5,1408.9468
omp,16000000,gaussian,42,8,256,5,1183.2935
omp,16000000,gaussian,42,16,256,5,1291.9322
omp,64000000,gaussian,42,1,256,5,7553.3037
omp,64000000,gaussian,42,2,256,5,5348.0907
omp,64000000,gaussian,42,4,256,5,5533.7081
omp,64000000,gaussian,42,8,256,5,5397.7851
omp,64000000,gaussian,42,16,256,5,5375.3541
omp,1000000,nearly_sorted,42,1,256,5,41.8998
omp,1000000,nearly_sorted,42,2,256,5,32.8507
omp,1000000,nearly_sorted,42,4,256,5,31.6520
omp,1000000,nearly_sorted,42,8,256,5,31.8879
omp,1000000,nearly_sorted,42,16,256,5,31.7243
omp,4000000,nearly_sorted,42,1,256,5,171.2930
omp,4000000,nearly_sorted,42,2,256,5,145.7302
omp,4000000,nearly_sorted,42,4,256,5,137.1373
omp,4000000,nearly_sorted,42,8,256,5,137.2626
omp,4000000,nearly_sorted,42,16,256,5,136.2962
omp,16000000,nearly_sorted,42,1,256,5,825.5398
omp,16000000,nearly_sorted,42,2,256,5,686.6780
omp,16000000,nearly_sorted,42,4,256,5,621.7683
omp,16000000,nearly_sorted,42,8,256,5,616.8341
omp,16000000,nearly_sorted,42,16,256,5,835.7524
omp,64000000,nearly_sorted,42,1,256,5,3377.6442
omp,64000000,nearly_sorted,42,2,256,5,2939.5560
omp,64000000,nearly_sorted,42,4,256,5,2818.8908
omp,64000000,nearly_sorted,42,8,256,5,2815.9597
omp,64000000,nearly_sorted,42,16,256,5,2879.8765
omp,1000000,reversed,42,1,256,5,10.6556
omp,1000000,reversed,42,2,256,5,10.4670
omp,1000000,reversed,42,4,256,5,10.1368
omp,1000000,reversed,42,8,256,5,10.3837
omp,1000000,reversed,42,16,256,5,10.8608
omp,4000000,reversed,42,1,256,5,55.4120
omp,4000000,reversed,42,2,256,5,50.3534
omp,4000000,reversed,42,4,256,5,49.7822
omp,4000000,reversed,42,8,256,5,53.2513
omp,4000000,reversed,42,16,256,5,84.8006
omp,16000000,reversed,42,1,256,5,395.0840
omp,16000000,reversed,42,2,256,5,267.3634
omp,16000000,reversed,42,4,256,5,270.3718
omp,16000000,reversed,42,8,256,5,270.9940
omp,16000000,reversed,42,16,256,5,280.1250
omp,64000000,reversed,42,1,256,5,1483.4028
omp,64000000,reversed,42,2,256,5,1342.6980
omp,64000000,reversed,42,4,256,5,1239.2340
omp,64000000,reversed,42,8,256,5,1464.4806
omp,64000000,reversed,42,16,256,5,1339.1636
